1. Nicaragüense muere en accidente de tránsito en Costa Rica | NI 2026 (70)
55. Apagón afecta a miles en León y Poneloya por falla eléctrica | NI (70)
56. Colisión en Jinotepe deja daños materiales y heridos leves | NI (70)
57. Shakira reúne a dos millones de fans en concierto de Brasil | NI (70)
58. Familia busca a joven desaparecido en laguna de Xiloá, Managua | NI (70)
59. Accidente de moto en Jinotega deja un herido grave | Nicaragua 2026 (70)
60. Carlos Vives y Maluma lideran premiación en gala de música latina | NI (70)
61. Berman Espinoza rompe récord histórico de 1,450 ponches | NI 2026 (70)
62. Incendio en puesto del Mercado Oriental controlado por bomberos | NI (70)
63. Consulado entrega cuerpo de nicaragüense fallecido en EE.UU. | NI (70)
64. Miles participan en vigilia cristiana con Alex Zurdo en Managua | NI (70)
65. Hospital pediátrico de Estelí avanza y estará listo en 2026 | NI (70)
66. Netflix anuncia precuela The Crown sobre familia real británica | NI (70)
67. Academia de Hollywood limita uso de IA en películas para Óscar | NI (70)
68. Abril registra 70 accidentes de tránsito en Nicaragua | NI 2026 (70)
69. Fenómeno viral de frutinovelas genera debate sobre IA en redes | NI (70)
70. Activistas intentan bloquear Wall Street en protesta climática | NI (70)
71. Autoridades investigan incidente de tránsito en Matiguás | NI 2026 (70)
72. Autoridades investigan incidente acuático en Laguna de Xiloá | NI 2026 (70)
73. MINSA reporta tercer caso por picaduras de insectos en Chontales | NI (70)
74. La Costanera: nuevo motor de inversión inmobiliaria en Nicaragua | NI (70)
75. Organización migrante reporta 13 decesos nicaragüenses en EE.UU. | NI (70)
76. Justicia en Siuna: Cae sujeto que mató a joven con una piocha | NI (70)
77. Policía atiende incidente de tránsito en Quilalí | Nicaragua 2026 (70)
78. Policía investiga hallazgo en vivienda de Ciudad Darío | NI 2026 (70)
79. Autoridades investigan incidente vial entre Tipitapa y Boaco | NI 2026 (70)
80. Policía investiga hallazgo en carretera de El Jícaro | Nicaragua 2026 (70)
81. Michael rompe récords como estreno biográfico más exitoso | NI 2026 (70)
82. Expertos analizan rol de IA en ciberseguridad global | Nicaragua 2026 (70)
83. Siuna aplicará multas por arrojar basura desde transporte público | NI (70)
84. Australia: 7 de cada 10 menores burlan prohibición de redes | NI (70)
85. Cae banda señalada de asesinar a guarda de seguridad en Masaya | NI (70)
86. Fiscalía investiga deceso de recluso en Matagalpa | Nicaragua 2026 (70)
87. Policía investiga incidente en Ciudad Sandino | Nicaragua 2026 (70)
88. Policía busca a conductor involucrado en incidente en Rosita | NI (70)
89. Familiares localizan a adulto mayor tras búsqueda en Las Jagüitas | NI (70)
90. La NASA presenta el telescopio Roman para descifrar el universo oscuro (70)
91. Taylor Swift busca registrar su voz como marca ante auge de la IA | NI (70)
92. Policía investiga caso en Sébaco; detienen a sospechoso | NI 2026 (70)
93. Luca Zidane recibe atención médica; club evalúa recuperación | NI (70)
94. Policía guatemalteca reporta detención nicaragüense | Nicaragua 2026 (70)
95. MINSA reporta incidente vial de funcionario en Carretera Norte | NI (70)
96. Costa Rica invita a Nicaragua a toma posesión de Laura Fernández | NI (70)
97. Investigan muerte de mujer en bus de la ruta Jalapa-Ocotal | NI (70)
98. Pena máxima para asesino adolescente en Santo Domingo, Chontales | NI (70)
99. Cae guatemalteco con 23 kilos de cocaína en frontera El Guasaule | NI (70)
100. Autoridades investigan incidente de tránsito en Jinotepe | NI 2026 (70)
101. Policía investiga incidente vial entre Boaco y Camoapa | NI 2026 (70)
102. Clima extremo en Nicaragua: Tornado en Somotillo y granizo en Jinotepe (70)
103. Autoridades investigan incidente con unidad de transporte | NI 2026 (70)
104. Luka Modrić recibe tratamiento médico; club evalúa recuperación | NI (70)
105. MINSA evalúa situación de salud en evento en El Rama | Nicaragua 2026 (70)
106. Autoridades reportan incidentes viales en Granada y Matagalpa | NI (70)
107. Canal de Panamá: buques pagan $4 millones por crisis en Ormuz | NI (70)
108. ¡Histórico! Sebastián Sawe rompe barrera de 2 horas en maratón | NI (70)
109. Bomberos controlan incendio en Masaya; evalúan daños materiales | NI (70)
110. Consulado gestiona caso de connacional en Puntarenas | Nicaragua 2026 (70)
111. Policía investiga incidente en carretera Costanera, Rivas | NI 2026 (70)
112. Buscan a sospechoso de muerte de ciudadano en Asang, Waspam | NI (70)
113. Samsung prepara baterías silicio-carbono para Galaxy S27 | NI 2026 (70)
114. MINSA intensifica vacunación contra el COVID-19 en San Francisco Libre (70)
115. MINSA reporta tercer caso médico por insectos en Chontales | NI 2026 (70)
116. Autoridades investigan incidente laboral en pozo de Madriz | NI 2026 (70)
117. Policía investiga incidente vial en Jalapa, Nueva Segovia | NI 2026 (70)
118. Masiva asistencia en cierre de la Feria Nacional de la Vivienda | NI (70)
119. Pánico en México: operativos por reto de TikTok en escuelas | NI (70)
120. Miel San Marcos realiza concierto en centro de rehabilitación | NI (70)
121. Jannik Sinner tras baja de Alcaraz: El tenis necesita a Carlos | NI (70)
122. Avanza construcción Hospital Pediátrico Las Segovias, Estelí | NI (70)
123. Fiscalía investiga hallazgo en Telica, León | Nicaragua 2026 (70)
124. Florinda Meza revela secreto a Ángela Aguilar para un amor eterno | NI (70)
125. Google invierte USD 40,000 millones en IA y sacude el mercado | NI (70)
126. Policía costarricense investiga caso de violencia | Nicaragua 2026 (70)
127. Oklahoma evalúa impacto de fenómenos climáticos | Nicaragua 2026 (70)
128. Policía reporta incidentes viales con funcionarios | Nicaragua 2026 (70)
129. Managua: Ciudadano hondureño fallece tras vuelco de camioneta | NI (70)
130. Policía investiga incidente vial en carretera Jalapa | Nicaragua 2026 (70)
131. Magnicidio en Haití: juicio contra cómplices inicia en Miami | NI (70)
132. Guerra en Irán: por qué subirán precio de condones en el mundo | NI (70)
133. Microsoft y Meta ajustan plantillas para acelerar la IA | NI 2026 (70)
134. Accidente de tránsito en Larreynaga deja heridos | Nicaragua 2026 (70)
